Gender,Age,Debt,Married,BankCustomer,Job,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,Approved
1,20.52,2.956,1,1,5,White,0.0,1,0,0,1,ByBirth,360,0,0
1,34.28,3.58,0,1,13,White,0.0,1,0,0,1,ByBirth,232,0,0
1,23.59,3.721,0,1,1,White,0.0,1,1,0,1,ByBirth,168,0,0
1,32.74,2.287,0,1,4,White,0.0,1,0,0,1,ByBirth,60,0,0
1,18.55,3.402,1,0,4,Other,0.0,1,1,0,1,ByBirth,80,0,1
1,53.66,1.148,1,1,7,Black,0.0,1,1,0,1,ByBirth,360,0,1
1,15.17,16.373,1,1,13,White,0.0,1,0,0,1,Temporary,260,0,0
1,17.14,1.242,1,1,6,White,0.0,1,0,0,1,ByBirth,180,0,0
1,40.86,2.615,0,0,10,White,0.0,1,0,0,1,ByBirth,180,0,0
1,18.42,15.508,1,1,4,Latino,0.0,1,1,0,1,ByBirth,252,0,0
1,25.73,6.438,1,0,5,Black,0.0,1,0,0,1,ByBirth,140,0,0
1,28.72,0.517,1,1,7,Black,0.0,1,0,0,1,ByBirth,120,0,1
0,26.73,0.0,1,0,0,Black,0.0,1,1,0,1,ByBirth,50,0,1
0,48.67,2.132,1,1,6,White,0.0,1,0,0,1,ByBirth,720,0,0
0,18.96,0.864,1,1,11,Black,0.0,1,1,0,1,ByBirth,100,0,0
