Gender,Age,Debt,Married,BankCustomer,Job,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,Approved
0,49.26,7.274,1,1,7,White,0.0,1,1,0,1,ByBirth,180,0,1
0,61.35,7.215,1,1,7,White,0.0,1,1,0,1,ByBirth,216,0,1
1,19.48,4.018,0,1,10,White,0.0,1,1,0,1,ByOtherMeans,711,0,1
1,34.33,7.203,1,1,9,White,0.159,1,0,0,1,ByBirth,519,319,1
0,16.61,5.491,1,1,4,White,0.0,1,1,0,1,ByBirth,80,0,1
1,24.49,2.547,0,1,7,Asian,0.0,1,1,0,1,ByBirth,0,0,1
1,19.85,6.376,0,1,11,Other,0.0,1,1,0,1,ByBirth,150,0,1
1,13.75,1.814,1,0,9,White,0.0,1,1,0,1,ByBirth,110,188,1
0,46.3,1.945,1,0,9,White,0.0,1,1,0,1,ByBirth,88,0,1
0,14.33,2.422,1,1,10,Black,0.0,1,1,0,1,ByBirth,200,0,1
1,35.37,26.136,1,1,4,Latino,0.178,1,1,0,1,ByBirth,320,336,1
1,40.19,1.52,0,1,13,White,0.168,1,0,0,1,ByBirth,352,359,1
1,15.83,9.75,1,0,4,White,0.0,1,1,0,1,ByBirth,164,352,1
1,23.38,28.0,1,1,0,White,0.0,1,1,0,1,ByBirth,200,0,1
1,23.56,15.368,0,1,7,White,0.0,1,1,0,1,ByBirth,380,170,1
0,32.6,2.46,0,1,0,White,0.0,1,1,0,1,ByBirth,450,467,1
1,55.53,24.766,0,1,4,White,0.0,1,1,0,1,ByBirth,80,0,1
0,13.75,12.308,0,1,10,White,0.0,1,1,0,1,ByOtherMeans,181,0,1
1,30.7,11.299,0,0,7,Black,0.0,1,0,0,1,ByBirth,375,0,1
0,25.9,4.723,1,1,10,Black,0.01,1,1,0,1,ByBirth,240,0,1
1,30.67,11.257,1,1,7,White,0.0,1,1,0,1,ByBirth,160,0,1
1,23.57,2.228,1,1,3,Other,0.0,1,1,0,1,ByBirth,340,186,1
1,13.75,5.54,1,1,3,White,0.0,1,1,0,1,ByOtherMeans,352,0,1
1,73.46,11.766,1,1,9,Latino,0.0,1,1,0,1,ByBirth,240,46,1
0,19.4,14.028,1,1,4,Asian,0.0,1,1,0,1,ByBirth,500,209,1
1,20.7,3.716,1,1,8,Black,0.0,1,1,0,1,ByBirth,200,77,1
1,14.15,10.728,1,0,13,White,0.0,1,1,0,1,ByBirth,0,0,1
1,25.89,2.489,1,1,2,Black,0.0,1,0,0,1,ByBirth,181,0,1
1,13.75,9.656,1,1,3,Black,0.0,1,1,0,1,ByBirth,0,0,1
0,37.55,4.982,0,1,9,Black,0.0,1,1,0,1,ByBirth,60,0,1
1,52.6,3.854,1,1,7,White,0.0,1,1,0,1,ByBirth,240,0,1
0,22.22,3.335,1,1,0,Asian,0.19,1,1,0,1,ByBirth,0,337,1
1,34.17,6.158,0,1,3,Black,0.0,1,0,0,1,ByBirth,22,0,1
1,22.06,2.685,0,0,8,White,0.0,1,1,0,1,ByBirth,80,6,1
1,76.75,2.84,1,1,2,Black,0.0,1,1,0,1,ByBirth,375,466,1
0,57.64,1.924,1,0,3,Black,0.17,1,1,0,1,ByBirth,43,50,1
0,32.11,5.776,0,1,1,White,0.0,1,0,0,1,ByOtherMeans,180,257,1
1,27.54,24.063,1,1,13,Black,0.0,1,1,0,1,ByBirth,0,341,1
1,21.5,5.899,1,1,4,White,0.0,1,0,0,1,ByBirth,120,0,1
1,60.38,3.98,1,1,9,Asian,0.0,1,1,0,1,ByBirth,29,0,1
1,14.57,3.956,1,1,1,Asian,0.0,1,1,0,1,ByBirth,0,3,1
1,39.2,8.718,1,1,4,Black,0.0,1,1,0,1,ByBirth,239,0,1
1,35.92,4.881,1,0,4,White,0.0,1,1,0,1,ByBirth,0,317,1
1,17.83,10.871,1,1,9,Other,0.0,1,1,0,1,ByBirth,487,54,1
