Gender,Age,Debt,Married,BankCustomer,Job,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,Approved
0,33.04,7.649,1,1,1,White,0.0,1,1,0,1,ByBirth,100,3232,1
1,16.06,3.431,1,1,4,White,0.0,1,0,0,1,ByBirth,200,125,0
0,57.17,8.351,1,1,6,White,0.0,1,0,0,1,ByBirth,160,70,0
1,19.05,3.997,1,1,6,White,0.0,1,0,0,0,ByBirth,200,47,0
1,26.33,2.571,1,1,2,White,0.0,1,1,0,1,ByBirth,70,517,1
1,31.97,11.327,1,1,13,White,0.08,1,0,0,1,ByBirth,760,35,0
1,20.67,3.554,1,1,2,Black,0.0,1,0,0,0,ByBirth,380,1,0
0,18.37,5.572,1,0,4,Asian,0.022,1,1,0,1,ByBirth,300,0,1
1,18.84,8.805,1,0,4,White,0.0,1,0,0,1,ByBirth,0,27,0
1,59.15,7.189,1,1,7,White,0.0,1,0,0,0,ByBirth,380,1649,1
1,27.66,3.959,1,0,11,White,0.0,1,0,0,0,ByBirth,108,109,0
1,22.52,13.708,1,1,1,Black,0.067,1,0,0,0,ByBirth,0,1183,0
1,18.56,2.919,1,0,4,Latino,0.0,1,0,0,1,ByBirth,240,19,0
0,15.17,9.327,1,1,0,White,0.0,1,0,0,0,ByBirth,140,4849,0
0,25.43,8.737,1,0,1,White,0.023,1,0,0,0,ByBirth,760,329,0
