Gender,Age,Debt,Married,BankCustomer,Job,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,Approved
1,33.97,8.029,0,1,7,Other,6.876,1,1,0,1,ByBirth,560,2491,1
0,25.92,3.775,0,0,7,Black,0.748,0,1,0,1,ByBirth,100,717,0
1,16.54,14.283,0,1,7,White,0.02,1,0,0,1,ByBirth,200,91,0
0,32.63,12.79,0,1,7,Asian,0.0,0,0,0,1,ByOtherMeans,120,306,0
1,18.19,7.426,0,1,7,White,0.0,0,0,0,1,ByBirth,360,66,0
1,31.99,4.645,0,1,7,White,2.903,0,1,0,1,ByBirth,0,168,0
1,54.13,7.142,0,1,7,White,2.257,1,1,0,1,ByBirth,560,468,1
1,22.11,9.518,0,0,7,Asian,1.788,1,0,0,1,ByBirth,100,575,0
0,39.1,4.306,0,0,7,White,0.541,0,0,0,1,ByOtherMeans,160,14,0
1,25.62,7.404,0,1,7,White,0.0,1,0,0,1,ByBirth,200,105,0
1,23.56,15.857,0,0,7,White,0.567,0,0,0,1,ByBirth,132,130,0
0,18.48,20.812,0,1,7,White,0.0,0,1,2,1,ByBirth,0,79,0
1,30.7,11.299,0,0,7,Black,0.0,1,0,0,1,ByBirth,375,0,1
0,17.81,15.949,0,1,7,Asian,0.098,1,0,0,1,ByBirth,160,484,0
1,71.79,4.825,0,1,7,White,0.197,0,0,2,1,ByBirth,120,99,0
1,24.29,7.799,1,0,6,Black,0.46,1,0,0,0,ByBirth,120,0,0
1,33.53,0.4,1,1,6,Asian,0.422,0,0,0,1,ByOtherMeans,180,53,0
1,44.83,4.285,1,1,0,White,0.0,0,1,0,0,ByBirth,80,24,0
0,58.08,0.0,1,1,7,White,0.504,1,1,0,0,ByBirth,300,0,1
1,21.24,5.797,1,1,1,White,0.0,0,0,2,1,ByBirth,200,123,0
1,44.04,2.491,1,1,5,White,0.224,1,1,4,1,ByBirth,120,13,1
1,21.2,3.234,1,1,9,Black,0.0,0,0,0,0,ByOtherMeans,240,0,0
