,Gender,Age,Debt,YearsEmployed,PriorDefault,Employed,DriversLicense,Citizen,ZipCode,Approved,Income,CreditScore,Married,BankCustomer,Job,Ethnicity
0,1,15.26,6.954,0.0,0,1,1,ByBirth,120,0,55,0,0,0,7,White
1,0,36.56,2.76,0.0,1,0,0,ByBirth,0,0,95,0,0,1,9,White
2,1,16.75,1.931,0.0,1,1,0,ByBirth,100,0,1897,0,1,1,2,Asian
3,0,21.1,3.385,0.0,0,0,1,ByBirth,0,0,126,0,1,0,5,White
4,0,19.73,0.982,0.0,0,0,1,ByBirth,0,0,120,0,0,1,5,White
5,0,18.35,18.769,0.0,1,0,0,ByOtherMeans,200,0,37,0,1,1,9,Latino
6,1,15.17,17.589,0.0,0,0,1,ByBirth,440,0,546,0,1,0,3,Latino
7,1,54.32,14.832,0.084,1,0,1,ByBirth,369,0,123,0,0,1,6,Black
8,1,16.27,13.336,0.0,0,0,0,ByOtherMeans,108,0,35,0,1,1,6,Other
9,1,22.98,7.928,0.123,1,1,1,ByBirth,180,0,9,0,1,1,8,White
10,1,24.52,1.577,0.0,0,0,0,ByBirth,0,0,153,0,0,1,5,Other
11,0,17.51,2.274,0.596,0,1,0,ByBirth,80,0,522,0,0,0,4,White
12,1,20.84,18.798,3.143,0,0,0,ByBirth,200,0,0,0,0,1,9,Asian
13,1,15.41,3.553,1.235,0,0,1,ByBirth,176,0,136,0,0,1,0,Latino
14,0,31.62,1.887,0.058,0,1,1,ByBirth,140,0,55,0,1,1,4,Black
15,1,21.16,7.959,0.0,0,1,1,ByBirth,280,0,0,0,1,1,4,White
16,0,27.71,3.458,0.0,0,0,0,ByBirth,130,0,12,3,1,0,7,White
17,1,25.74,2.96,0.085,0,0,1,ByBirth,0,0,50,0,1,0,8,Asian
18,1,26.98,1.331,0.094,0,0,0,ByBirth,152,0,0,0,1,1,10,White
19,0,32.64,11.804,0.746,1,1,1,Temporary,120,0,2302,2,1,0,6,White
20,1,15.17,2.143,0.0,0,0,1,ByBirth,120,0,38,0,0,1,4,White
21,0,17.32,3.869,0.0,0,1,1,ByBirth,80,0,195,2,0,0,0,White
22,0,23.85,1.585,0.054,0,0,1,ByBirth,160,0,0,0,0,1,4,White
23,1,23.98,12.721,0.401,0,0,1,ByBirth,0,0,1524,0,1,1,2,White
24,0,16.7,4.6,0.0,1,0,1,ByOtherMeans,340,0,80,0,0,1,4,Asian
25,0,20.35,0.578,0.674,1,0,0,ByBirth,96,0,26,0,1,0,2,White
26,0,28.68,2.459,0.0,0,1,0,ByBirth,100,0,106,0,0,0,4,White
27,1,28.56,0.0,0.0,0,0,0,ByBirth,100,0,5,0,1,1,8,White
28,1,18.86,14.277,0.0,0,0,1,ByBirth,240,0,48,0,1,1,11,White
29,1,68.32,0.814,0.0,1,0,0,ByBirth,0,0,4,0,1,0,4,White
30,1,15.17,1.549,0.0,0,0,1,ByBirth,145,0,98,0,0,1,4,Latino
31,1,26.61,8.136,0.0,0,1,0,ByBirth,400,0,86,0,0,1,2,White
32,1,15.17,3.935,1.646,0,0,0,ByBirth,0,0,133,0,1,0,1,White
33,1,29.66,3.47,0.0,0,0,0,ByBirth,200,0,140,0,1,1,10,White
34,1,16.19,2.45,0.503,0,0,1,ByBirth,272,0,0,0,1,1,10,White
35,0,22.68,0.866,0.0,0,1,0,ByBirth,0,0,42,0,1,0,6,Black
36,0,20.85,2.304,1.494,1,0,1,ByBirth,260,0,66,4,1,0,0,Black
37,1,15.17,0.0,0.0,0,0,1,ByBirth,100,0,154,0,1,1,6,Latino
38,0,44.8,3.545,0.0,0,1,1,ByBirth,200,0,0,0,1,0,8,White
39,1,16.15,2.447,2.261,0,0,0,ByBirth,0,0,90,0,0,0,4,Black
40,1,33.95,2.498,0.0,0,0,1,ByBirth,280,0,0,3,1,1,4,White
41,1,18.52,2.85,1.19,0,0,0,ByOtherMeans,110,0,30,0,1,1,6,Asian
42,0,55.95,0.0,0.0,0,0,1,ByOtherMeans,0,0,86,0,0,1,0,White
43,0,17.03,8.402,0.527,0,0,1,ByBirth,80,0,65,0,1,1,6,White
44,1,22.74,4.878,0.013,0,0,1,ByOtherMeans,280,0,71,0,1,1,7,White
45,1,41.48,1.914,1.753,0,0,0,ByBirth,400,0,235,0,0,1,2,White
46,0,52.51,3.759,0.0,0,0,1,ByBirth,180,0,148,2,1,1,6,White
47,0,43.12,6.961,5.099,0,1,0,ByBirth,80,0,110,0,0,0,4,White
48,1,34.55,1.784,0.16,0,1,0,ByBirth,228,0,371,0,0,1,4,Asian
49,0,22.4,10.743,0.0,0,0,1,ByBirth,100,0,107,0,1,1,2,Asian
50,1,15.17,0.95,0.687,0,0,0,ByBirth,100,0,0,0,1,1,4,White
51,1,15.17,2.257,1.518,1,0,0,ByBirth,300,0,79,0,1,1,5,Other
52,0,15.44,2.618,1.55,0,1,1,ByBirth,0,0,135,0,1,1,5,White
53,1,36.86,5.489,0.105,0,1,1,ByBirth,280,0,149,0,0,0,4,White
54,1,42.55,3.122,0.715,1,1,0,ByBirth,160,0,125,0,1,1,11,White
55,1,49.8,17.181,0.0,0,0,0,ByOtherMeans,420,0,8,0,1,1,7,Latino
56,1,22.04,8.058,0.389,0,1,1,ByBirth,160,0,136,0,0,1,5,Asian
57,1,19.12,5.843,0.124,0,1,1,ByOtherMeans,160,0,80,0,1,0,11,White
58,1,22.76,1.429,0.086,0,0,1,ByOtherMeans,288,0,63,0,1,1,0,Latino
59,1,15.17,0.567,0.0,1,1,0,ByBirth,280,0,78,0,1,0,8,Asian
60,0,15.17,8.643,0.43,0,0,1,ByBirth,163,0,0,0,1,1,7,Black
61,1,43.08,1.991,0.605,0,1,0,ByBirth,144,0,978,0,0,0,6,White
62,0,18.71,0.128,0.0,0,0,0,ByOtherMeans,120,0,938,0,0,1,0,White
63,0,41.41,1.714,0.0,1,1,1,ByBirth,0,0,1742,3,1,0,6,Asian
64,0,15.17,5.219,0.0,0,0,1,ByOtherMeans,120,0,350,0,0,1,5,White
65,1,51.73,0.717,0.0,0,0,0,ByBirth,320,0,0,0,0,0,10,Latino
66,0,15.17,2.928,0.41,0,0,1,ByBirth,160,0,153,0,0,1,2,Other
67,1,18.76,0.287,0.353,0,0,1,ByBirth,200,0,99,0,0,1,0,White
68,1,19.45,2.11,0.0,0,0,0,ByOtherMeans,0,0,0,0,1,1,11,White
69,1,32.25,3.078,3.429,0,0,0,ByOtherMeans,0,0,102,0,0,1,2,White
70,1,28.65,9.193,0.0,1,0,0,ByBirth,0,0,97,0,1,1,1,White
71,1,20.91,0.958,0.0,0,0,0,ByBirth,112,0,673,1,1,1,8,White
72,1,20.73,3.046,0.0,1,0,0,ByBirth,0,0,57,2,1,0,2,White
73,1,20.93,2.753,0.0,0,0,1,ByOtherMeans,160,0,129,0,1,1,4,White
74,1,15.59,5.376,0.0,0,0,1,ByBirth,112,0,96,0,1,1,2,White
75,0,20.3,0.0,0.005,0,0,0,ByBirth,180,0,66,0,1,0,8,White
76,1,42.39,0.527,0.0,0,0,1,ByBirth,108,0,129,0,0,1,6,White
77,0,22.45,0.979,0.0,1,0,0,ByBirth,400,0,2808,3,0,0,5,White
78,0,26.48,3.615,0.0,0,1,1,ByBirth,136,0,65,0,1,1,2,White
79,1,32.57,2.019,0.514,0,0,1,Temporary,180,0,0,0,1,1,4,Latino
80,1,15.17,5.937,0.0,0,0,0,ByBirth,465,0,14,0,1,1,8,White
81,1,19.72,1.295,3.988,0,0,0,ByBirth,0,0,82,0,1,0,9,Asian
82,1,28.99,0.0,0.0,0,0,0,ByBirth,0,0,41,0,0,1,4,White
83,1,16.01,3.266,0.411,0,0,0,ByBirth,80,0,163,0,1,1,7,White
84,1,15.17,12.263,4.982,1,0,0,ByBirth,80,0,64,0,1,1,1,White
85,0,23.94,18.245,0.759,0,0,0,ByBirth,360,0,604,0,1,0,6,White
86,1,29.51,1.992,0.107,0,0,0,ByBirth,272,0,107,0,1,1,1,White
87,1,15.24,15.377,0.005,0,0,1,ByBirth,460,0,140,0,0,1,8,White
88,0,22.13,2.998,0.0,0,0,0,ByBirth,400,0,202,0,1,1,11,White
89,1,19.65,0.639,1.045,0,0,1,ByBirth,0,0,112,0,0,1,4,White
90,1,21.47,0.684,0.0,0,0,1,ByBirth,145,0,28,0,1,1,4,White
91,1,23.73,2.002,0.389,1,0,0,ByBirth,140,0,49,0,0,0,7,Asian
92,1,20.27,5.696,0.0,0,0,0,ByBirth,80,0,0,0,0,0,2,Latino
93,0,15.73,0.15,1.879,0,0,1,ByBirth,352,0,92,0,1,1,1,Asian
94,1,36.64,2.299,0.228,0,0,1,ByBirth,309,0,100,0,1,1,5,White
95,1,15.87,1.299,0.29,1,0,0,ByBirth,220,0,56,0,1,1,9,Other
96,1,20.17,10.008,0.0,0,0,0,ByBirth,0,0,0,0,0,1,4,Latino
97,0,15.17,3.229,7.045,0,0,0,ByOtherMeans,0,0,95,0,0,1,3,Latino
98,0,15.45,17.787,0.0,0,0,0,ByBirth,340,0,58,0,1,1,4,Asian
99,1,39.57,15.658,0.254,0,0,1,ByBirth,320,0,64,0,1,1,3,White
100,0,29.91,12.691,0.0,0,0,0,ByBirth,17,0,0,0,1,0,8,Latino
101,0,18.89,1.587,1.547,1,0,1,ByBirth,180,0,501,0,1,1,4,White
102,1,32.6,0.0,0.0,0,0,1,ByOtherMeans,0,0,74,0,1,1,11,Latino
103,1,27.72,2.894,2.083,0,0,0,ByBirth,420,0,116,0,0,0,3,Asian
104,0,19.96,2.831,0.176,1,0,1,ByOtherMeans,0,0,135,4,1,1,1,Latino
105,1,19.4,5.952,0.0,0,1,0,ByBirth,0,0,111,0,1,1,5,White
106,1,22.12,2.4,1.366,0,0,0,ByBirth,178,0,45,0,1,0,3,Asian
107,0,36.72,2.791,0.413,1,1,1,ByBirth,420,0,667,0,0,0,13,White
108,1,20.35,2.138,0.0,0,0,0,ByBirth,200,0,337,0,1,0,4,White
109,0,78.99,2.843,0.162,0,0,0,ByBirth,523,0,57,0,0,0,6,Black
110,1,15.17,5.835,0.0,0,0,0,ByBirth,0,0,151,0,0,1,10,Latino
111,1,25.59,1.825,2.083,0,0,0,ByOtherMeans,0,0,166,0,1,1,4,Black
112,0,25.09,17.155,0.0,1,0,0,ByBirth,180,0,65,0,1,0,6,White
113,1,20.85,4.1,2.181,0,0,1,ByBirth,280,0,35,0,1,0,7,White
114,1,15.17,1.987,0.0,0,0,0,ByBirth,420,0,143,0,1,0,5,White
115,1,18.79,1.759,0.561,0,1,1,ByBirth,280,0,630,0,1,1,11,Latino
116,1,27.37,3.572,1.084,0,0,1,ByBirth,180,0,140,0,1,1,5,White
117,1,32.43,1.203,0.113,0,0,0,ByBirth,108,0,57,0,1,1,11,White
118,1,24.12,2.343,1.504,1,1,1,ByBirth,128,0,60,0,1,0,9,White
119,1,18.55,2.178,0.0,1,0,0,ByBirth,369,0,0,0,1,1,4,White
120,0,15.17,2.552,0.0,0,0,1,ByBirth,280,0,111,0,1,0,5,White
121,1,23.09,1.61,0.0,1,0,0,ByBirth,0,0,0,3,0,1,10,White
122,1,15.41,2.145,1.082,0,0,0,ByBirth,0,0,26,0,1,1,5,White
123,0,15.17,1.563,0.0,0,0,1,ByBirth,120,0,133,0,0,1,4,Asian
124,0,29.24,2.671,0.0,0,0,0,ByBirth,272,0,35,2,1,0,2,Latino
125,1,15.17,4.7,0.174,0,0,1,ByBirth,120,0,497,0,1,1,5,Latino
126,0,15.17,3.012,1.068,1,0,0,ByBirth,0,0,0,0,1,0,4,Other
127,1,35.58,3.672,0.0,1,0,0,ByOtherMeans,372,0,0,0,0,1,9,Latino
128,0,19.78,3.958,0.0,0,0,1,ByBirth,94,0,0,0,1,1,4,White
129,0,25.08,4.057,0.502,1,1,0,ByBirth,200,0,45,0,1,1,4,White
130,1,26.31,19.556,2.782,0,0,0,ByBirth,160,0,92,0,0,0,4,White
